drink_name,category,volume_ml,price_rub,is_key_drink,source_url,validation_note,price_per_100ml
эспрессо,эспрессо-напитки,60,130,False,ручной ввод,ручная валидация,216.7
американо,эспрессо-напитки,250,175,True,ручной ввод,ручная валидация,70.0
капучино,молочные напитки,300,225,True,ручной ввод,ручная валидация,75.0
латте,молочные напитки,350,245,True,ручной ввод,ручная валидация,70.0
флэт уайт,молочные напитки,200,245,True,ручной ввод,ручная валидация,122.5
раф,молочные напитки,300,285,True,ручной ввод,ручная валидация,95.0
какао,какао/шоколад,300,265,True,ручной ввод,ручная валидация,88.3
матча латте,чай/матча,300,285,True,ручной ввод,ручная валидация,95.0
чай,чай/матча,400,180,True,ручной ввод,ручная валидация,45.0
кортадо,молочные напитки,150,225,False,ручной ввод,ручная валидация,150.0
меню кофейни наши кофейни контакты новости франшиза вакансии,прочее,350,290,False,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
матча клубника-малина       new капучино амаретто       best,молочные напитки,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
матча клубника-малина,чай/матча,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
new капучино амаретто,молочные напитки,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
best латте груша-каштан,молочные напитки,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
пунш персик-дыня,прочее,350,290,False,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
new пунш вишня-сакура,прочее,350,290,False,https://pravdacoffee.ru/mainmenu/,структурный парсинг,82.9
