text,href,source_name,source_url
,https://pravdacoffee.ru,Правда кофе,https://pravdacoffee.ru/
Меню кофейни,/mainmenu/,Правда кофе,https://pravdacoffee.ru/
Наши кофейни,/ourcoffee/,Правда кофе,https://pravdacoffee.ru/
Контакты,/contacts/,Правда кофе,https://pravdacoffee.ru/
Новости,/news/,Правда кофе,https://pravdacoffee.ru/
Франшиза,https://pravda-coffee.ru/,Правда кофе,https://pravdacoffee.ru/
Вакансии,https://pravda-coffee.ru/rabota/,Правда кофе,https://pravdacoffee.ru/
8 800 555 19 66,tel:88005551966,Правда кофе,https://pravdacoffee.ru/
hello@pravdacoffee.ru,mailto:hello@pravdacoffee.ru,Правда кофе,https://pravdacoffee.ru/
,https://t.me/pravdacoffee10,Правда кофе,https://pravdacoffee.ru/
,https://vk.com/pravdacoffee,Правда кофе,https://pravdacoffee.ru/
Меню кофейни,/mainmenu/,Правда кофе,https://pravdacoffee.ru/
Наши кофейни,/ourcoffee/,Правда кофе,https://pravdacoffee.ru/
Контакты,/contacts/,Правда кофе,https://pravdacoffee.ru/
Новости,/news/,Правда кофе,https://pravdacoffee.ru/
Франшиза,https://pravda-coffee.ru/,Правда кофе,https://pravdacoffee.ru/
Вакансии,https://pravda-coffee.ru/rabota/,Правда кофе,https://pravdacoffee.ru/
Подробнее,http://pravda-coffee.ru,Правда кофе,https://pravdacoffee.ru/
Подробнее,http://pravda-coffee.ru,Правда кофе,https://pravdacoffee.ru/
Подробнее,https://pravda-coffee.ru/,Правда кофе,https://pravdacoffee.ru/
13 мая 2026Прокачали кэшбэк!,https://pravdacoffee.ru/allnews/%d0%bf%d1%80%d0%be%d0%ba%d0%b0%d1%87%d0%b0%d0%bb%d0%b8-%d0%ba%d1%8d%d1%88%d0%b1%d1%8d%d0%ba/,Правда кофе,https://pravdacoffee.ru/
21 апреля 2026Спасибо за наше общее чудо,https://pravdacoffee.ru/allnews/%d1%81%d0%bf%d0%b0%d1%81%d0%b8%d0%b1%d0%be-%d0%b7%d0%b0-%d0%bd%d0%b0%d1%88%d0%b5-%d0%be%d0%b1%d1%89%d0%b5%d0%b5-%d1%87%d1%83%d0%b4%d0%be/,Правда кофе,https://pravdacoffee.ru/
